Claim_ID,Manuscript_location,Value,Source_file,Exact_row_or_selector,Calculation,Script,Recomputed_value,Match?,Status
M_GROUP_STUDY_RF,Table 2/Figure 2,0.1302842732734807,runs/confirmatory/bss_overall_macro.csv,regime=GROUP_STUDY; RF,Direct selector re-read from frozen output,scripts/build_final_release.py,0.1302842732734807,YES,VERIFIED
M_GROUP_STUDY_PREVALENCE,Table 2/Figure 2,0.1207337098615245,runs/confirmatory/bss_overall_macro.csv,regime=GROUP_STUDY; PREVALENCE,Direct selector re-read from frozen output,scripts/build_final_release.py,0.1207337098615245,YES,VERIFIED
M_GROUP_STUDY_BSS_LR,Table 2/Figure 2,-0.2119659018177957,runs/confirmatory/bss_overall_macro.csv,regime=GROUP_STUDY; BSS_LR,Direct selector re-read from frozen output,scripts/build_final_release.py,-0.2119659018177957,YES,VERIFIED
M_GROUP_STUDY_BSS_RF,Table 2/Figure 2,-0.079104364662613,runs/confirmatory/bss_overall_macro.csv,regime=GROUP_STUDY; BSS_RF,Direct selector re-read from frozen output,scripts/build_final_release.py,-0.079104364662613,YES,VERIFIED
M_LOSO_LR,Table 2/Figure 2,0.1500511907723279,runs/confirmatory/bss_overall_macro.csv,regime=LOSO; LR,Direct selector re-read from frozen output,scripts/build_final_release.py,0.1500511907723279,YES,VERIFIED
M_LOSO_RF,Table 2/Figure 2,0.1325573502971315,runs/confirmatory/bss_overall_macro.csv,regime=LOSO; RF,Direct selector re-read from frozen output,scripts/build_final_release.py,0.1325573502971315,YES,VERIFIED
M_LOSO_PREVALENCE,Table 2/Figure 2,0.1208418802420316,runs/confirmatory/bss_overall_macro.csv,regime=LOSO; PREVALENCE,Direct selector re-read from frozen output,scripts/build_final_release.py,0.1208418802420316,YES,VERIFIED
M_LOSO_BSS_LR,Table 2/Figure 2,-0.2417151278331122,runs/confirmatory/bss_overall_macro.csv,regime=LOSO; BSS_LR,Direct selector re-read from frozen output,scripts/build_final_release.py,-0.2417151278331122,YES,VERIFIED
M_LOSO_BSS_RF,Table 2/Figure 2,-0.0969487567690539,runs/confirmatory/bss_overall_macro.csv,regime=LOSO; BSS_RF,Direct selector re-read from frozen output,scripts/build_final_release.py,-0.0969487567690539,YES,VERIFIED
G_GROUP_STUDY_LR_gap,Results/Figure 4,0.0382777545237718,runs/confirmatory/gap_uncertainty.csv,regime=GROUP_STUDY; model=LR; target=OVERALL_MACRO; gap,Direct selector re-read from frozen output,scripts/build_final_release.py,0.0382777545237718,YES,VERIFIED
G_GROUP_STUDY_LR_ci_low,Results/Figure 4,0.0195303991940566,runs/confirmatory/gap_uncertainty.csv,regime=GROUP_STUDY; model=LR; target=OVERALL_MACRO; ci_low,Direct selector re-read from frozen output,scripts/build_final_release.py,0.0195303991940566,YES,VERIFIED
G_GROUP_STUDY_LR_ci_high,Results/Figure 4,0.0643039258476355,runs/confirmatory/gap_uncertainty.csv,regime=GROUP_STUDY; model=LR; target=OVERALL_MACRO; ci_high,Direct selector re-read from frozen output,scripts/build_final_release.py,0.0643039258476355,YES,VERIFIED
G_GROUP_STUDY_LR_n_studies,Results/Figure 4,51.0,runs/confirmatory/gap_uncertainty.csv,regime=GROUP_STUDY; model=LR; target=OVERALL_MACRO; n_studies,Direct selector re-read from frozen output,scripts/build_final_release.py,51.0,YES,VERIFIED
G_GROUP_STUDY_RF_gap,Results/Figure 4,0.0289927694070919,runs/confirmatory/gap_uncertainty.csv,regime=GROUP_STUDY; model=RF; target=OVERALL_MACRO; gap,Direct selector re-read from frozen output,scripts/build_final_release.py,0.0289927694070919,YES,VERIFIED
G_GROUP_STUDY_RF_ci_low,Results/Figure 4,0.0149719212817143,runs/confirmatory/gap_uncertainty.csv,regime=GROUP_STUDY; model=RF; target=OVERALL_MACRO; ci_low,Direct selector re-read from frozen output,scripts/build_final_release.py,0.0149719212817143,YES,VERIFIED
G_GROUP_STUDY_RF_ci_high,Results/Figure 4,0.0519547313634451,runs/confirmatory/gap_uncertainty.csv,regime=GROUP_STUDY; model=RF; target=OVERALL_MACRO; ci_high,Direct selector re-read from frozen output,scripts/build_final_release.py,0.0519547313634451,YES,VERIFIED
G_GROUP_STUDY_RF_n_studies,Results/Figure 4,51.0,runs/confirmatory/gap_uncertainty.csv,regime=GROUP_STUDY; model=RF; target=OVERALL_MACRO; n_studies,Direct selector re-read from frozen output,scripts/build_final_release.py,51.0,YES,VERIFIED
G_LOSO_LR_gap,Results/Figure 4,0.0420038057439691,runs/confirmatory/gap_uncertainty.csv,regime=LOSO; model=LR; target=OVERALL_MACRO; gap,Direct selector re-read from frozen output,scripts/build_final_release.py,0.0420038057439691,YES,VERIFIED
G_LOSO_LR_ci_low,Results/Figure 4,0.0235315690978819,runs/confirmatory/gap_uncertainty.csv,regime=LOSO; model=LR; target=OVERALL_MACRO; ci_low,Direct selector re-read from frozen output,scripts/build_final_release.py,0.0235315690978819,YES,VERIFIED
G_LOSO_LR_ci_high,Results/Figure 4,0.0689159507865275,runs/confirmatory/gap_uncertainty.csv,regime=LOSO; model=LR; target=OVERALL_MACRO; ci_high,Direct selector re-read from frozen output,scripts/build_final_release.py,0.0689159507865275,YES,VERIFIED
G_LOSO_LR_n_studies,Results/Figure 4,51.0,runs/confirmatory/gap_uncertainty.csv,regime=LOSO; model=LR; target=OVERALL_MACRO; n_studies,Direct selector re-read from frozen output,scripts/build_final_release.py,51.0,YES,VERIFIED
G_LOSO_RF_gap,Results/Figure 4,0.0312658464307428,runs/confirmatory/gap_uncertainty.csv,regime=LOSO; model=RF; target=OVERALL_MACRO; gap,Direct selector re-read from frozen output,scripts/build_final_release.py,0.0312658464307428,YES,VERIFIED
G_LOSO_RF_ci_low,Results/Figure 4,0.0152786533725383,runs/confirmatory/gap_uncertainty.csv,regime=LOSO; model=RF; target=OVERALL_MACRO; ci_low,Direct selector re-read from frozen output,scripts/build_final_release.py,0.0152786533725383,YES,VERIFIED
G_LOSO_RF_ci_high,Results/Figure 4,0.0571023349350212,runs/confirmatory/gap_uncertainty.csv,regime=LOSO; model=RF; target=OVERALL_MACRO; ci_high,Direct selector re-read from frozen output,scripts/build_final_release.py,0.0571023349350212,YES,VERIFIED
G_LOSO_RF_n_studies,Results/Figure 4,51.0,runs/confirmatory/gap_uncertainty.csv,regime=LOSO; model=RF; target=OVERALL_MACRO; n_studies,Direct selector re-read from frozen output,scripts/build_final_release.py,51.0,YES,VERIFIED
CLEAN_GROUP_STUDY_BSS_LR,Table 4/Figure 5,-0.2407373746512955,runs/final_robustness/clean_macro_bss.csv,regime=GROUP_STUDY; BSS_LR,Direct selector re-read from frozen output,scripts/build_final_release.py,-0.2407373746512955,YES,VERIFIED
CLEAN_GROUP_STUDY_BSS_RF,Table 4/Figure 5,-0.1273017938624676,runs/final_robustness/clean_macro_bss.csv,regime=GROUP_STUDY; BSS_RF,Direct selector re-read from frozen output,scripts/build_final_release.py,-0.1273017938624676,YES,VERIFIED
CLEAN_LOSO_BSS_LR,Table 4/Figure 5,-0.2039585178313183,runs/final_robustness/clean_macro_bss.csv,regime=LOSO; BSS_LR,Direct selector re-read from frozen output,scripts/build_final_release.py,-0.2039585178313183,YES,VERIFIED
CLEAN_LOSO_BSS_RF,Table 4/Figure 5,-0.1062144614681972,runs/final_robustness/clean_macro_bss.csv,regime=LOSO; BSS_RF,Direct selector re-read from frozen output,scripts/build_final_release.py,-0.1062144614681972,YES,VERIFIED
CLEAN_RANDOM_BSS_LR,Table 4/Figure 5,0.1075003485861147,runs/final_robustness/clean_macro_bss.csv,regime=RANDOM; BSS_LR,Direct selector re-read from frozen output,scripts/build_final_release.py,0.1075003485861147,YES,VERIFIED
CLEAN_RANDOM_BSS_RF,Table 4/Figure 5,0.1503782644746912,runs/final_robustness/clean_macro_bss.csv,regime=RANDOM; BSS_RF,Direct selector re-read from frozen output,scripts/build_final_release.py,0.1503782644746912,YES,VERIFIED
BLOCK_EXPERIMENTAL_CONTEXT_LOSO_BSS_LR,Table 4/Figure 5,-0.0346152171216613,runs/final_robustness/blocks_macro_bss.csv,block=EXPERIMENTAL_CONTEXT; regime=LOSO; BSS_LR,Direct selector re-read from frozen output,scripts/build_final_release.py,-0.0346152171216613,YES,VERIFIED
BLOCK_EXPERIMENTAL_CONTEXT_LOSO_BSS_RF,Table 4/Figure 5,-0.0381432644655834,runs/final_robustness/blocks_macro_bss.csv,block=EXPERIMENTAL_CONTEXT; regime=LOSO; BSS_RF,Direct selector re-read from frozen output,scripts/build_final_release.py,-0.0381432644655834,YES,VERIFIED
BLOCK_EXPERIMENTAL_CONTEXT_RANDOM_BSS_LR,Table 4/Figure 5,0.0102521038625409,runs/final_robustness/blocks_macro_bss.csv,block=EXPERIMENTAL_CONTEXT; regime=RANDOM; BSS_LR,Direct selector re-read from frozen output,scripts/build_final_release.py,0.0102521038625409,YES,VERIFIED
BLOCK_EXPERIMENTAL_CONTEXT_RANDOM_BSS_RF,Table 4/Figure 5,0.010164600577167,runs/final_robustness/blocks_macro_bss.csv,block=EXPERIMENTAL_CONTEXT; regime=RANDOM; BSS_RF,Direct selector re-read from frozen output,scripts/build_final_release.py,0.010164600577167,YES,VERIFIED
BLOCK_NP_INTRINSIC_LOSO_BSS_LR,Table 4/Figure 5,-0.2293568607309024,runs/final_robustness/blocks_macro_bss.csv,block=NP_INTRINSIC; regime=LOSO; BSS_LR,Direct selector re-read from frozen output,scripts/build_final_release.py,-0.2293568607309024,YES,VERIFIED
BLOCK_NP_INTRINSIC_LOSO_BSS_RF,Table 4/Figure 5,-0.0863973610594142,runs/final_robustness/blocks_macro_bss.csv,block=NP_INTRINSIC; regime=LOSO; BSS_RF,Direct selector re-read from frozen output,scripts/build_final_release.py,-0.0863973610594142,YES,VERIFIED
BLOCK_NP_INTRINSIC_RANDOM_BSS_LR,Table 4/Figure 5,0.0498686884664998,runs/final_robustness/blocks_macro_bss.csv,block=NP_INTRINSIC; regime=RANDOM; BSS_LR,Direct selector re-read from frozen output,scripts/build_final_release.py,0.0498686884664998,YES,VERIFIED
BLOCK_NP_INTRINSIC_RANDOM_BSS_RF,Table 4/Figure 5,0.1077259253138067,runs/final_robustness/blocks_macro_bss.csv,block=NP_INTRINSIC; regime=RANDOM; BSS_RF,Direct selector re-read from frozen output,scripts/build_final_release.py,0.1077259253138067,YES,VERIFIED
STRUCTURE_001,Results/Figure S2,60.39197362376724,runs/confirmatory/covariate_variance_decomposition.csv,weighted by total_ss across one-hot features,Direct selector re-read from frozen output,scripts/build_final_release.py,60.39197362376724,YES,VERIFIED
EXT01,Results/Figure S1,662.0,runs/final_robustness/protcrown_feasibility.json,np_rows,Direct selector re-read from frozen output,scripts/build_final_release.py,662.0,YES,VERIFIED
EXT02,Results/Figure S1,62.0,runs/final_robustness/protcrown_feasibility.json,np_source_titles,Direct selector re-read from frozen output,scripts/build_final_release.py,62.0,YES,VERIFIED
EXT03,Results/Figure S1,0.0,runs/final_robustness/protcrown_feasibility.json,verified_compatible_independent_samples,Direct selector re-read from frozen output,scripts/build_final_release.py,0.0,YES,VERIFIED
EXT04_groups,Results/Figure S1,34.0,runs/final_robustness/protcrown_feasibility.json,shared source groups,Direct selector re-read from frozen output,scripts/build_final_release.py,34.0,YES,VERIFIED
EXT04_rows,Results/Figure S1,480.0,runs/final_robustness/protcrown_feasibility.json,shared source rows,Direct selector re-read from frozen output,scripts/build_final_release.py,480.0,YES,VERIFIED
EXT05_groups,Results/Figure S1,25.0,runs/final_robustness/protcrown_feasibility.json,candidate source groups,Direct selector re-read from frozen output,scripts/build_final_release.py,25.0,YES,VERIFIED
EXT05_rows,Results/Figure S1,168.0,runs/final_robustness/protcrown_feasibility.json,candidate source rows,Direct selector re-read from frozen output,scripts/build_final_release.py,168.0,YES,VERIFIED
EXT06_groups,Results/Figure S1,3.0,runs/final_robustness/protcrown_feasibility.json,unresolved source groups,Direct selector re-read from frozen output,scripts/build_final_release.py,3.0,YES,VERIFIED
EXT06_rows,Results/Figure S1,14.0,runs/final_robustness/protcrown_feasibility.json,unresolved source rows,Direct selector re-read from frozen output,scripts/build_final_release.py,14.0,YES,VERIFIED
METHOD_01,Methods/Supplement S3,8.0,MINIMAL_BENCHMARK_LOCK.md,eight source categorical features,Count fixed predictor names,scripts/augment_final_number_audit.py,8.0,YES,VERIFIED
METHOD_02,Methods/Supplement S2,4.0,MINIMAL_BENCHMARK_LOCK.md,fixed target panel,Count fixed targets,scripts/augment_final_number_audit.py,4.0,YES,VERIFIED
METHOD_03,Methods/Supplement S4,5.0,MINIMAL_BENCHMARK_LOCK.md,five outer folds,Direct frozen split rule,scripts/augment_final_number_audit.py,5.0,YES,VERIFIED
METHOD_04,Methods/Supplement S3,1.0,scripts/confirmatory_fit.py,LogisticRegression C,Read estimator constant,scripts/augment_final_number_audit.py,1.0,YES,VERIFIED
METHOD_05,Methods/Supplement S3,2000.0,scripts/confirmatory_fit.py,LogisticRegression max_iter,Read estimator constant,scripts/augment_final_number_audit.py,2000.0,YES,VERIFIED
METHOD_06,Methods/Supplement S3,100.0,scripts/confirmatory_fit.py,RandomForestClassifier n_estimators,Read estimator constant,scripts/augment_final_number_audit.py,100.0,YES,VERIFIED
METHOD_07,Methods/Supplement S3,5.0,scripts/confirmatory_fit.py,RandomForestClassifier min_samples_leaf,Read estimator constant,scripts/augment_final_number_audit.py,5.0,YES,VERIFIED
METHOD_08,Methods/Supplement S3,1.0,scripts/confirmatory_fit.py,RandomForestClassifier n_jobs,Read estimator constant,scripts/augment_final_number_audit.py,1.0,YES,VERIFIED
METHOD_09,Methods/Supplement S4,32.0,MINIMAL_BENCHMARK_LOCK.md,split seed list,Read frozen seed,scripts/augment_final_number_audit.py,32.0,YES,VERIFIED
METHOD_10,Methods/Supplement S4,1729.0,MINIMAL_BENCHMARK_LOCK.md,split seed list,Read frozen seed,scripts/augment_final_number_audit.py,1729.0,YES,VERIFIED
METHOD_11,Methods/Supplement S4,2026.0,MINIMAL_BENCHMARK_LOCK.md,split seed list,Read frozen seed,scripts/augment_final_number_audit.py,2026.0,YES,VERIFIED
METHOD_12,Methods/Supplement S5,2000.0,MINIMAL_BENCHMARK_LOCK.md,paired bootstrap draws,Read frozen bootstrap rule,scripts/augment_final_number_audit.py,2000.0,YES,VERIFIED
METHOD_13,Methods/Supplement S5,2.5,MINIMAL_BENCHMARK_LOCK.md,bootstrap lower percentile,Read frozen bootstrap rule,scripts/augment_final_number_audit.py,2.5,YES,VERIFIED
METHOD_14,Methods/Supplement S5,97.5,MINIMAL_BENCHMARK_LOCK.md,bootstrap upper percentile,Read frozen bootstrap rule,scripts/augment_final_number_audit.py,97.5,YES,VERIFIED
